audio_path,mse
AutoVoice\Recorder\Recordings\audio_16.wav,0.410501
AutoVoice\Recorder\Recordings\audio_136.wav,0.388888
AutoVoice\Recorder\Recordings\audio_19.wav,0.386290
AutoVoice\Recorder\Recordings\audio_44.wav,0.338626
AutoVoice\Recorder\Recordings\audio_114.wav,0.324386
AutoVoice\Recorder\Recordings\audio_85.wav,0.301158
AutoVoice\Recorder\Recordings\audio_124.wav,0.264850
AutoVoice\Recorder\Recordings\audio_123.wav,0.260451
AutoVoice\Recorder\Recordings\audio_128.wav,0.252067
AutoVoice\Recorder\Recordings\audio_21.wav,0.216465
AutoVoice\Recorder\Recordings\audio_56.wav,0.201156
AutoVoice\Recorder\Recordings\audio_131.wav,0.196942
AutoVoice\Recorder\Recordings\audio_108.wav,0.180639
AutoVoice\Recorder\Recordings\audio_138.wav,0.177404
AutoVoice\Recorder\Recordings\audio_35.wav,0.175320
AutoVoice\Recorder\Recordings\audio_101.wav,0.153382
AutoVoice\Recorder\Recordings\audio_109.wav,0.152841
AutoVoice\Recorder\Recordings\audio_129.wav,0.150656
AutoVoice\Recorder\Recordings\audio_90.wav,0.147702
AutoVoice\Recorder\Recordings\audio_29.wav,0.140219
AutoVoice\Recorder\Recordings\audio_115.wav,0.132893
AutoVoice\Recorder\Recordings\audio_110.wav,0.125569
AutoVoice\Recorder\Recordings\audio_95.wav,0.121736
AutoVoice\Recorder\Recordings\audio_27.wav,0.117312
AutoVoice\Recorder\Recordings\audio_59.wav,0.115623
AutoVoice\Recorder\Recordings\audio_113.wav,0.083072
AutoVoice\Recorder\Recordings\audio_135.wav,0.080334
AutoVoice\Recorder\Recordings\audio_143.wav,0.072904
AutoVoice\Recorder\Recordings\audio_111.wav,0.064954
AutoVoice\Recorder\Recordings\audio_36.wav,0.062460
AutoVoice\Recorder\Recordings\audio_118.wav,0.062293
AutoVoice\Recorder\Recordings\audio_117.wav,0.061570
AutoVoice\Recorder\Recordings\audio_11.wav,0.059108
AutoVoice\Recorder\Recordings\audio_140.wav,0.049954
AutoVoice\Recorder\Recordings\audio_112.wav,0.042071
AutoVoice\Recorder\Recordings\audio_137.wav,0.040175
AutoVoice\Recorder\Recordings\audio_127.wav,0.019282
AutoVoice\Recorder\Recordings\audio_132.wav,0.014067
